Date,Open,High,Low,Close,Adj Close,Volume
2009-09-09,13.060000,13.150000,12.850000,13.040000,12.960990,1017400
2009-09-10,12.980000,13.190000,12.920000,13.170000,13.090201,718300
2009-09-11,13.230000,13.410000,13.050000,13.200000,13.120020,1782400
2009-09-14,13.050000,13.370000,13.020000,13.100000,13.020626,814700
2009-09-15,13.100000,13.380000,12.940000,13.360000,13.279051,730600
2009-09-16,13.510000,13.530000,13.400000,13.460000,13.378447,1017200
2009-09-17,13.480000,13.560000,13.180000,13.290000,13.209475,912400
2009-09-18,13.300000,13.370000,13.010000,13.200000,13.120020,739500
2009-09-21,12.950000,13.010000,12.750000,12.990000,12.911291,1043300
2009-09-22,13.100000,13.310000,13.100000,13.310000,13.229353,578200
2009-09-23,13.250000,13.250000,12.980000,13.000000,12.921234,787700
2009-09-24,13.060000,13.100000,12.560000,12.680000,12.603171,1155300
2009-09-25,12.660000,12.710000,12.430000,12.680000,12.603171,769400
2009-09-28,12.700000,13.060000,12.590000,12.990000,12.911291,1657700
2009-09-29,13.000000,13.060000,12.910000,12.960000,12.881473,589800
2009-09-30,13.140000,13.250000,13.000000,13.250000,13.169719,798500
2009-10-01,13.130000,13.220000,12.830000,12.960000,12.881473,651100
2009-10-02,12.760000,12.990000,12.590000,12.660000,12.583291,1435000
2009-10-05,12.750000,13.090000,12.670000,12.980000,12.901352,939100
2009-10-06,13.270000,13.680000,13.270000,13.620000,13.537475,1695300
2009-10-07,13.600000,13.700000,13.500000,13.570000,13.487776,984500
2009-10-08,13.700000,13.870000,13.580000,13.640000,13.557354,1556400
2009-10-09,13.710000,13.710000,13.370000,13.650000,13.567293,916000
2009-10-12,13.780000,13.880000,13.690000,13.780000,13.696506,747600
2009-10-13,13.850000,14.010000,13.760000,13.910000,13.825718,1177800
2009-10-14,13.980000,14.050000,13.900000,13.930000,13.845598,734100
2009-10-15,13.830000,13.850000,13.480000,13.510000,13.428142,1279900
2009-10-16,13.400000,13.710000,13.400000,13.690000,13.607050,860400
2009-10-19,13.630000,13.940000,13.560000,13.930000,13.845598,601800
2009-10-20,13.860000,13.970000,13.580000,13.650000,13.567293,853100
2009-10-21,13.580000,13.960000,13.580000,13.870000,13.785959,962400
2009-10-22,13.710000,13.870000,13.680000,13.860000,13.776021,712900
2009-10-23,13.900000,13.980000,13.820000,13.850000,13.766081,1347000
2009-10-26,13.780000,13.900000,13.300000,13.370000,13.288989,1252200
2009-10-27,13.250000,13.480000,13.240000,13.380000,13.298929,1049200
2009-10-28,13.200000,13.270000,13.090000,13.130000,13.060206,1071100
2009-10-29,13.150000,13.450000,13.150000,13.390000,13.318825,1330700
2009-10-30,13.260000,13.340000,13.050000,13.270000,13.199461,911900
2009-11-02,13.400000,13.520000,13.310000,13.310000,13.239247,811300
2009-11-03,13.210000,14.080000,13.210000,14.020000,13.945474,2300100
2009-11-04,14.180000,14.350000,14.010000,14.010000,13.935527,2482000
2009-11-05,14.060000,14.080000,13.940000,13.960000,13.885795,619500
2009-11-06,14.010000,14.170000,13.940000,14.030000,13.955420,817900
2009-11-09,14.380000,14.380000,14.110000,14.150000,14.074782,1670200
2009-11-10,13.570000,13.860000,13.510000,13.800000,13.726644,7784100
2009-11-11,13.900000,14.140000,13.730000,13.950000,13.875847,2333000
2009-11-12,13.950000,13.950000,13.600000,13.650000,13.577439,1909500
2009-11-13,13.700000,14.080000,13.590000,13.880000,13.806218,1281200
2009-11-16,14.090000,14.250000,13.940000,14.080000,14.005156,2114300
2009-11-17,13.970000,14.210000,13.910000,14.190000,14.114569,1641100
2009-11-18,14.290000,14.300000,14.110000,14.200000,14.124516,1420600
2009-11-19,14.150000,14.510000,14.040000,14.370000,14.293612,1933300
2009-11-20,14.320000,14.490000,14.220000,14.420000,14.343348,1338000
2009-11-23,14.650000,14.840000,14.430000,14.630000,14.552231,2021300
2009-11-24,14.610000,14.690000,14.410000,14.570000,14.492551,1346400
2009-11-25,14.770000,14.950000,14.720000,14.930000,14.850636,2083800
2009-11-27,14.400000,14.770000,14.000000,14.630000,14.552231,1532300
2009-11-30,14.500000,14.820000,14.470000,14.810000,14.731275,1623000
2009-12-01,15.130000,15.150000,14.980000,15.130000,15.049572,2264400
2009-12-02,15.200000,15.390000,15.200000,15.300000,15.218670,1690700
2009-12-03,15.240000,15.290000,15.020000,15.110000,15.029679,1273200
2009-12-04,14.950000,14.980000,14.410000,14.620000,14.542284,2735400
2009-12-07,14.350000,14.530000,13.930000,14.400000,14.323454,3637000
2009-12-08,14.240000,14.360000,13.900000,14.030000,13.955420,1591000
2009-12-09,14.130000,14.350000,13.900000,13.980000,13.905686,1996000
2009-12-10,13.950000,14.100000,13.900000,14.070000,13.995208,1071300
2009-12-11,13.970000,14.150000,13.690000,13.790000,13.716696,1648600
2009-12-14,13.770000,13.870000,13.720000,13.730000,13.657016,1899000
2009-12-15,13.700000,13.950000,13.700000,13.760000,13.686854,1197100
2009-12-16,13.940000,14.190000,13.930000,14.120000,14.044942,1067200
2009-12-17,13.930000,14.020000,13.550000,13.630000,13.557548,1621300
2009-12-18,13.670000,13.780000,13.560000,13.730000,13.657016,1082200
2009-12-21,13.800000,13.880000,13.450000,13.510000,13.438186,1066500
2009-12-22,13.430000,13.620000,13.250000,13.430000,13.358609,1692900
2009-12-23,13.430000,13.790000,13.430000,13.780000,13.706750,910400
2009-12-24,13.850000,14.000000,13.800000,13.980000,13.905686,535000
2009-12-28,14.050000,14.120000,13.880000,13.970000,13.895740,733500
2009-12-29,13.950000,14.000000,13.720000,13.770000,13.696803,636200
2009-12-30,13.700000,13.700000,13.560000,13.660000,13.587387,545700
2009-12-31,13.770000,13.800000,13.600000,13.780000,13.706750,866700
2010-01-04,14.020000,14.150000,14.000000,14.050000,13.975315,1134200
2010-01-05,14.020000,14.210000,13.990000,14.170000,14.094676,1125200
2010-01-06,14.280000,14.530000,14.250000,14.520000,14.442816,1256100
2010-01-07,14.450000,14.510000,14.380000,14.490000,14.412976,759600
2010-01-08,14.510000,14.600000,14.320000,14.560000,14.482605,805400
2010-01-11,14.760000,14.940000,14.630000,14.680000,14.601966,1572200
2010-01-12,14.650000,14.660000,14.240000,14.300000,14.223985,1240100
2010-01-13,14.350000,14.550000,14.200000,14.540000,14.462709,1206400
2010-01-14,14.540000,14.570000,14.410000,14.500000,14.422923,697400
2010-01-15,14.440000,14.470000,14.310000,14.400000,14.323454,652500
2010-01-19,14.440000,14.560000,14.380000,14.480000,14.403028,853300
2010-01-20,14.210000,14.300000,13.860000,13.980000,13.905686,1148800
2010-01-21,13.910000,14.050000,13.680000,13.740000,13.666963,1276200
2010-01-22,13.630000,13.710000,13.430000,13.570000,13.497866,1564300
2010-01-25,13.630000,13.660000,13.510000,13.550000,13.477973,947300
2010-01-26,13.350000,13.610000,13.250000,13.480000,13.408344,877500
2010-01-27,13.510000,13.550000,13.180000,13.180000,13.109939,1463900
2010-01-28,13.310000,13.340000,12.830000,12.960000,12.891109,1998400
2010-01-29,12.950000,12.980000,12.760000,12.830000,12.761799,1465500
2010-02-01,12.930000,13.260000,12.840000,13.190000,13.119885,1162900
2010-02-02,13.300000,13.400000,13.120000,13.230000,13.159673,1164800
2010-02-03,13.250000,13.300000,13.040000,13.050000,12.980629,854100
2010-02-04,12.880000,12.910000,12.500000,12.550000,12.483287,2397200
2010-02-05,12.490000,12.820000,12.200000,12.810000,12.741906,3281900
2010-02-08,12.800000,12.900000,12.640000,12.640000,12.572810,1179200
2010-02-09,12.890000,13.080000,12.840000,13.060000,12.990579,1416300
2010-02-10,13.000000,13.040000,12.850000,13.000000,12.930897,987200
2010-02-11,13.020000,13.330000,12.960000,13.310000,13.239247,848500
2010-02-12,13.130000,13.340000,13.050000,13.330000,13.259143,690800
2010-02-16,13.620000,13.770000,13.500000,13.710000,13.637122,1086500
2010-02-17,13.700000,13.790000,13.500000,13.510000,13.438186,1149900
2010-02-18,13.580000,13.660000,13.400000,13.400000,13.328769,1540800
2010-02-19,13.430000,13.580000,13.220000,13.430000,13.358609,1501000
2010-02-22,13.810000,13.810000,13.240000,13.310000,13.239247,1273300
2010-02-23,13.300000,13.310000,13.080000,13.210000,13.139781,1170300
2010-02-24,13.160000,13.390000,13.150000,13.390000,13.318825,1600900
2010-02-25,13.230000,13.580000,13.220000,13.510000,13.438186,955100
2010-02-26,13.610000,13.670000,13.450000,13.630000,13.557548,796900
2010-03-01,13.690000,13.800000,13.600000,13.630000,13.557548,695400
2010-03-02,13.670000,13.900000,13.660000,13.810000,13.736590,1290500
2010-03-03,13.900000,14.050000,13.890000,13.970000,13.895740,1123300
2010-03-04,13.940000,13.960000,13.760000,13.920000,13.846004,732300
2010-03-05,13.960000,14.110000,13.960000,14.070000,13.995208,731300
2010-03-08,14.090000,14.120000,13.920000,14.020000,13.945474,641700
2010-03-09,13.900000,14.080000,13.830000,13.990000,13.915633,721100
2010-03-10,13.870000,14.100000,13.810000,13.810000,13.736590,947400
2010-03-11,13.800000,13.950000,13.720000,13.930000,13.855952,605900
2010-03-12,13.980000,14.040000,13.870000,13.930000,13.855952,1243000
2010-03-15,13.940000,13.990000,13.820000,13.920000,13.846004,472400
2010-03-16,14.100000,14.210000,14.100000,14.130000,14.054890,1011600
